No.,Time,Source,Destination,Protocol,Length
222,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,125
223,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
224,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,122
225,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
226,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,176
227,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
228,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
229,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,121
230,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
231,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,114
232,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
233,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,593
234,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
235,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,313
236,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,279
237,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,118
238,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
239,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,117
240,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,125
241,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
242,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
243,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
244,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,177
245,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,121
246,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
247,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
248,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
249,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,177
250,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
